# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:00:13  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2026-04-17,AAPL,AAPL260417C00270000,270.0,REAL,3:45 PM,0.48,3:50 PM,0.25,-0.23,-23.0,False,
2026-04-20,AAPL,AAPL260420C00272500,272.5,REAL,3:45 PM,0.24,3:50 PM,0.14,-0.1,-10.0,False,
2026-04-22,AAPL,AAPL260422C00272500,272.5,REAL,3:45 PM,0.5,3:50 PM,0.55,0.05,5.0,True,
2026-04-24,AAPL,AAPL260424C00270000,270.0,REAL,3:45 PM,0.58,3:50 PM,0.96,0.38,38.0,True,
2026-04-27,AAPL,AAPL260427C00267500,267.5,REAL,3:45 PM,0.37,3:50 PM,0.4,0.03,3.0,True,
2026-04-29,AAPL,AAPL260429C00270000,270.0,REAL,3:45 PM,0.42,3:50 PM,0.42,0.0,0.0,False,
2026-05-01,AAPL,AAPL260501C00280000,280.0,REAL,3:45 PM,0.49,3:50 PM,0.69,0.2,20.0,True,
2026-05-04,AAPL,AAPL260504C00277500,277.5,REAL,3:45 PM,0.08,3:50 PM,0.02,-0.06,-6.0,False,
2026-05-06,AAPL,AAPL260506C00287500,287.5,REAL,3:45 PM,0.12,3:50 PM,0.22,0.1,10.0,True,
2026-05-08,AAPL,AAPL260508C00292500,292.5,REAL,3:45 PM,1.23,3:50 PM,1.4,0.17,17.0,True,
2026-05-11,AAPL,AAPL260511C00292500,292.5,REAL,3:45 PM,0.16,3:50 PM,0.27,0.11,11.0,True,
2026-05-13,AAPL,AAPL260513C00300000,300.0,REAL,3:45 PM,0.07,3:50 PM,0.05,-0.02,-2.0,False,
2026-05-15,AAPL,AAPL260515C00302500,302.5,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,0.0,False,
2026-05-18,AAPL,AAPL260518C00297500,297.5,REAL,3:45 PM,0.21,3:50 PM,0.13,-0.08,-8.0,False,
2026-05-20,AAPL,AAPL260520C00302500,302.5,REAL,3:45 PM,0.08,3:50 PM,0.07,-0.01,-1.0,False,
2026-05-22,AAPL,AAPL260522C00310000,310.0,REAL,3:45 PM,0.02,3:50 PM,0.04,0.02,2.0,True,
2026-05-27,AAPL,AAPL260527C00310000,310.0,REAL,3:45 PM,0.2,3:50 PM,0.27,0.07,7.0,True,
2026-05-29,AAPL,AAPL260529C00310000,310.0,REAL,3:45 PM,1.81,3:50 PM,2.84,1.03,103.0,True,
